H,A,X,1,3,1,1,1,1,1,0,0,0
D,R,O,1,3,1,1,2,1,1,0,0,0
C,S,O,1,3,1,1,2,1,1,0,0,0
H,R,X,1,2,1,1,1,1,1,0,0,0
H,S,X,1,1,1,1,2,1,1,0,0,0
C,A,O,1,2,1,1,2,1,1,0,0,0
B,X,O,1,3,1,1,2,1,1,0,0,0
C,A,O,1,3,1,1,2,1,1,0,0,0
C,A,O,1,2,1,1,2,1,1,1,0,0
B,X,O,1,3,1,1,2,1,1,0,0,0
C,A,O,1,2,1,1,2,1,1,0,0,0
B,X,O,1,3,1,1,2,1,1,0,0,0
B,X,I,1,2,1,1,2,1,1,0,0,0
C,S,O,2,2,1,1,2,1,1,0,0,0
B,X,O,1,3,1,1,2,1,1,0,0,0
B,X,O,1,2,1,1,2,1,1,0,0,0
D,R,I,1,3,1,1,2,1,1,1,0,0
H,S,X,1,3,1,1,2,1,1,0,0,0
B,X,O,1,2,1,1,2,1,1,0,0,0
B,X,O,1,2,1,2,2,1,1,0,0,0
H,S,X,1,2,1,1,2,1,1,0,0,0
B,X,O,1,3,1,1,2,1,1,0,0,0
B,X,O,2,2,1,2,2,1,1,0,0,0
C,R,O,1,3,1,1,2,1,1,5,0,0
B,X,O,1,2,1,2,2,1,1,0,0,0
B,X,O,1,3,1,1,2,1,1,0,0,0
D,A,I,2,3,1,1,2,1,1,2,0,0
B,X,O,1,3,1,1,2,1,1,0,0,0
D,R,O,1,3,1,1,2,1,1,0,0,0
B,X,O,1,3,1,1,2,1,1,0,0,0
B,X,O,1,1,1,2,2,1,1,0,0,0
B,X,O,1,1,1,1,2,1,1,0,0,0
C,R,I,2,1,1,2,2,1,1,0,0,0
B,X,O,1,3,1,1,2,1,1,0,0,0
D,R,I,1,3,1,2,2,1,1,0,0,0
B,X,O,1,2,1,1,2,1,1,0,0,0
C,R,O,1,3,1,1,2,1,1,0,0,0
E,A,C,1,3,1,1,2,1,1,3,1,0
H,A,X,1,2,1,1,1,1,1,1,0,0
B,X,O,1,2,1,2,2,1,1,1,0,0
B,X,O,1,3,1,1,2,1,1,0,0,0
B,X,O,1,2,1,1,2,1,1,0,0,0
D,K,I,2,3,1,2,2,1,1,2,0,0
E,A,I,2,2,1,1,2,1,1,8,0,0
D,A,I,1,3,1,2,2,1,1,0,0,0
B,X,O,1,3,1,1,2,1,1,0,0,0
H,R,X,1,2,1,1,2,1,1,0,0,0
C,R,O,1,2,1,1,2,1,1,0,0,0
D,A,O,2,3,3,2,2,1,1,2,0,0
E,S,O,2,3,1,2,2,1,1,5,0,0
